id_producto;id_punto_venta;id_fecha;cantidad;valor_unitario;valor_total;costo
235;312;55;2;28.84;57.68;63.45
351;312;55;2;2024.99;4049.98;3796.19
348;312;55;2;2024.99;4049.98;3796.19
232;312;55;2;28.84;57.68;63.45
319;256;55;1;874.79;874.79;884.71
342;256;55;1;419.46;419.46;413.15
347;312;55;1;2039.99;2039.99;1912.15
223;312;55;3;5.19;15.57;17.12
322;256;55;3;419.46;1258.38;1239.44
326;256;55;4;419.46;1677.84;1652.59
232;256;55;4;28.84;115.36;126.9
350;312;55;4;2024.99;8099.96;7592.38
212;312;55;4;20.19;80.76;48.11
215;312;55;4;20.19;80.76;48.11
220;312;55;4;20.19;80.76;48.11
345;312;55;5;2039.99;10199.95;9560.77
349;312;55;5;2024.99;10124.95;9490.47
344;312;55;6;2039.99;12239.94;11472.93
218;312;55;10;5.7;57.0;33.96
292;312;140;2;818.7;1637.4;1413.62
220;312;140;2;20.19;40.38;24.06
351;312;140;2;2024.99;4049.98;3796.19
349;312;140;2;2024.99;4049.98;3796.19
344;312;140;2;2039.99;4079.98;3824.31
270;58;140;1;183.94;183.94;181.49
262;58;140;1;183.94;183.94;181.49
219;312;140;1;5.7;5.7;3.4
296;312;140;1;714.7;714.7;617.03
212;312;140;1;20.19;20.19;12.03
229;312;140;1;28.84;28.84;31.72
235;312;140;3;28.84;86.52;95.17
348;312;140;3;2024.99;6074.97;5694.28
215;312;140;3;20.19;60.57;36.08
223;312;140;3;5.19;15.57;17.12
232;312;140;4;28.84;115.36;126.9
346;312;232;2;2039.99;4079.98;3824.31
347;312;232;2;2039.99;4079.98;3824.31
332;256;232;2;419.46;838.92;826.29
322;256;232;2;419.46;838.92;826.29
332;167;232;2;419.46;838.92;826.29
338;167;232;2;419.46;838.92;826.29
318;167;232;2;874.79;1749.58;1769.42
345;29;232;2;2039.99;4079.98;3824.31
351;29;232;2;2024.99;4049.98;3796.19
351;469;232;2;2024.99;4049.98;3796.19
293;469;232;2;722.59;1445.18;1247.68
229;469;232;2;28.84;57.68;63.45
